team,matches_played,wins,draws,losses,goals_for,goals_against,goal_difference,win_rate,draw_rate,loss_rate,unbeaten_rate,goals_per_match,goals_against_per_match,goal_difference_per_match,points_per_match,form5,form10,form20,weighted_form,weighted_recent_points,attack_5,defense_5,attack_10,defense_10,attack_20,defense_20,goal_diff_10,goal_diff_20,recent_goal_trend,avg_goal_margin,clean_sheet_pct,failed_to_score_pct,neutral_matches,neutral_points_per_match,neutral_win_rate,group,fifa_sum_rating,elo_rating,team_encoded,group_encoded,elo_rank,fifa_sum_rank,attack_defense_balance,elo_adjusted_form,fifa_adjusted_form,team_strength_score
Netherlands,43,24,11,8,102.0,45.0,57.0,0.5581395348837209,0.2558139534883721,0.18604651162790697,0.813953488372093,2.372093023255814,1.0465116279069768,1.3255813953488371,1.930232558139535,11,24,38,18.95,2.325102880658436,2.4,0.6,3.0,0.6,2.55,1.05,2.4,1.4999999999999998,0.30000000000000004,1.3255813953488371,0.4186046511627907,0.06976744186046512,11,1.9090909090909092,0.5454545454545454,F,1475.2851234435775,1959.0,28,5,8.0,7.0,2.4,23.508000000000003,23.60456197509724,0.808967869121761
Sweden,40,22,4,14,77.0,54.0,23.0,0.55,0.1,0.35,0.65,1.925,1.35,0.575,1.75,7,14,33,13.0,1.4,1.6,1.8,1.6,1.8,2.05,1.45,-0.19999999999999996,0.5999999999999999,-0.7999999999999998,0.575,0.3,0.225,9,2.3333333333333335,0.7777777777777778,F,1222.7929486906655,1660.0,41,5,31.0,34.0,-0.19999999999999996,11.62,11.412734187779545,0.669357011212833
Tunisia,50,24,15,11,69.0,39.0,30.0,0.48,0.3,0.22,0.78,1.38,0.78,0.6,1.74,6,14,39,13.35,1.4641975308641975,1.0,1.0,1.4,1.0,1.8,0.75,0.3999999999999999,1.05,-1.05,0.6,0.5,0.3,23,1.2608695652173914,0.2608695652173913,F,1223.6360892847426,1641.0,43,5,32.0,33.0,0.3999999999999999,11.487,11.42060349999093,0.6670100589219591
Belgium,46,26,11,9,97.0,40.0,57.0,0.5652173913043478,0.2391304347826087,0.1956521739130435,0.8043478260869565,2.108695652173913,0.8695652173913043,1.2391304347826086,1.934782608695652,11,22,30,17.15,2.1786008230452674,3.6,1.2,3.5,1.0,2.25,1.15,2.5,1.1,1.3000000000000003,1.2391304347826086,0.45652173913043476,0.2391304347826087,18,1.6666666666666667,0.5,G,1420.5958905533234,1849.0,4,6,16.0,13.0,2.5,20.339,20.835406394782076,0.7758844243555896
Egypt,49,26,15,8,78.0,39.0,39.0,0.5306122448979592,0.30612244897959184,0.16326530612244897,0.8367346938775511,1.5918367346938775,0.7959183673469388,0.7959183673469388,1.8979591836734695,8,21,37,16.25,2.0304526748971194,1.0,0.2,1.4,0.5,1.2,0.65,0.8999999999999999,0.5499999999999999,0.2500000000000001,0.7959183673469388,0.5102040816326531,0.16326530612244897,24,1.5416666666666667,0.375,G,1317.120587251256,1591.0,15,6,33.0,24.0,0.8999999999999999,16.7055,18.43968822151758,0.6990219063919094
Iran,44,28,9,7,92.0,38.0,54.0,0.6363636363636364,0.20454545454545456,0.1590909090909091,0.8409090909090909,2.090909090909091,0.8636363636363636,1.2272727272727273,2.1136363636363638,8,15,41,15.05,1.6337448559670784,1.8,0.6,1.7,0.8,1.8,0.75,0.8999999999999999,1.05,0.15000000000000013,1.2272727272727273,0.45454545454545453,0.1590909090909091,21,2.0476190476190474,0.6190476190476191,G,1410.0282890142366,1754.0,21,6,26.0,14.0,0.8999999999999999,13.155,14.100282890142367,0.7599230214865904
New Zealand,31,13,6,12,63.0,32.0,31.0,0.41935483870967744,0.1935483870967742,0.3870967741935484,0.6129032258064516,2.032258064516129,1.032258064516129,1.0,1.4516129032258065,4,7,32,9.100000000000001,0.7053497942386832,1.2,1.6,0.9,1.5,2.55,1.0,-0.6,1.5499999999999998,-1.95,1.0,0.3870967741935484,0.3225806451612903,11,1.2727272727272727,0.36363636363636365,G,1200.2856414090534,1831.5,29,6,19.0,39.0,-0.6,6.41025,5.601332993242249,0.6707627478832293
Cape Verde,39,17,12,10,49.0,39.0,10.0,0.4358974358974359,0.3076923076923077,0.2564102564102564,0.7435897435897436,1.2564102564102564,1.0,0.2564102564102564,1.6153846153846154,6,17,31,13.05,1.6304526748971193,1.4,1.2,1.7,1.0,1.35,0.95,0.7,0.40000000000000013,-0.20000000000000018,0.2564102564102564,0.48717948717948717,0.2564102564102564,14,2.0714285714285716,0.5714285714285714,H,1113.90870959147,1831.5,8,7,19.0,45.0,0.7,15.567749999999998,12.624298708703325,0.6685104062624978
Saudi Arabia,61,24,12,25,70.0,73.0,-3.0,0.39344262295081966,0.19672131147540983,0.4098360655737705,0.5901639344262295,1.1475409836065573,1.1967213114754098,-0.04918032786885246,1.3770491803278688,3,12,27,9.3,0.94320987654321,0.8,2.0,1.0,1.5,1.05,1.25,-0.5,-0.19999999999999996,-1.0,-0.04918032786885246,0.3114754098360656,0.3114754098360656,32,1.46875,0.4375,H,1209.0117270665833,1831.5,35,7,19.0,37.0,-0.5,10.988999999999999,9.672093816532666,0.6539059699914148
Spain,47,31,13,3,120.0,41.0,79.0,0.6595744680851063,0.2765957446808511,0.06382978723404255,0.9361702127659575,2.5531914893617023,0.8723404255319149,1.6808510638297873,2.25531914893617,11,24,48,20.45,2.325102880658436,2.6,0.4,3.1,0.8,2.65,0.95,2.3,1.7,0.5000000000000002,1.6808510638297873,0.46808510638297873,0.1276595744680851,18,2.0,0.5555555555555556,H,1611.5829708997296,2171.0,40,7,1.0,1.0,2.3,26.052,25.78532753439567,0.8992173160475809
